"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"SV_149_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter_A"	"Pelagibacter_A_ubique(GB_GCA_000419545.1)"
"SV_150_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_151_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	NA	NA	NA
"SV_152_Izimaplasmatales"	"Bacteria"	"Firmicutes"	"Bacilli"	"Izimaplasmatales"	"Izimaplasmataceae"	"Izimaplasma"	"(GB_GCA_000753575.1)"
"SV_153_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Pseudoalteromonas"	NA
"SV_154_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Nitrincolaceae"	"Neptuniibacter"	"Neptuniibacter_pectenicola(RS_GCF_001597735.1)"
"SV_155_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halieaceae"	"Luminiphilus"	"(RS_GCF_000169115.1)"
"SV_156_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	NA	NA	NA
"SV_157_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	NA
"SV_158_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA
"SV_159_SAR86"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SAR86A"	"(GB_GCA_000252525.1)"
"SV_160_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Saccharospirillaceae"	"Oleibacter"	"Oleibacter_marinus(RS_GCF_900156675.1)"
"SV_161_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	NA
"SV_162_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_163_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Brumimicrobium"	"(GB_GCA_002734085.1)"
"SV_164_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"HTCC2089"	"GCA-002727775"	"(GB_GCA_002727775.1)"
"SV_165_Parvibaculales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Parvibaculales"	"RS24"	"IMCC14465"	"(RS_GCF_000293845.2)"
"SV_166_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_167_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	"Pelagibacter_ubique_D(RS_GCF_001180225.1)"
"SV_168_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MED-G11"	"MED-G11_sp1(GB_GCA_002457075.1)"
"SV_169_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_170_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"UBA7446"	"(GB_GCA_002478685.1)"
"SV_171_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	NA
"SV_172_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_173_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_174_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_175_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Brumimicrobium"	"(GB_GCA_002734085.1)"
"SV_176_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_177_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_178_SAR86"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SAR86A"	"(GB_GCA_000252525.1)"
"SV_179_Parvibaculales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Parvibaculales"	"RS24"	"IMCC14465"	"(RS_GCF_000293845.2)"
"SV_180_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	NA
"SV_181_Opitutales"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Puniceicoccaceae"	"GCA-2690565"	"(GB_GCA_002690565.1)"
"SV_182_Balneolales"	"Bacteria"	"Bacteroidota"	"Rhodothermia"	"Balneolales"	"Balneolaceae"	"UBA1275"	"(GB_GCA_002689185.1)"
"SV_183_Betaproteobacteriales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Methylophilaceae"	"BACL14"	"BACL14_sp2(RS_GCF_001044335.1)"
"SV_184_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Loktanella"	"Loktanella_maricola(RS_GCF_002797915.1)"
"SV_185_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Mesoflavibacter"	"Mesoflavibacter_zeaxanthinifaciens(RS_GCF_000422365.1)"
"SV_186_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"AAA536-G10"	"AAA536-G10"	"(GB_GCA_000421325.1)"
"SV_187_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"UA16"	"UA16"	"(GB_GCA_002863125.1)"
"SV_188_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_189_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Alcanivoracaceae"	"Alcanivorax"	"Alcanivorax_jadensis(RS_GCF_000756655.1)"
"SV_190_Nanopelagicales"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Nanopelagicales"	"S36-B12"	"S36-B12"	"(GB_GCA_002728915.1)"
"SV_191_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_192_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"HTCC2089"	"GCA-002727775"	"(GB_GCA_002727775.1)"
"SV_193_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Sulfitobacter"	NA
"SV_194_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_195_Opitutales"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Puniceicoccaceae"	"GCA-2690565"	"(GB_GCA_002690565.1)"
"SV_196_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseovarius"	"(RS_GCF_000170875.1)"
"SV_197_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	"Pelagibacter_ubique_I(RS_GCF_001179965.1)"
"SV_198_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_199_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halieaceae"	"Luminiphilus"	"(RS_GCF_000227505.1)"
"SV_200_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Saccharospirillaceae"	"Oleibacter"	"Oleibacter_marinus(RS_GCF_900156675.1)"
"SV_201_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_202_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"	"OM182_sp1(GB_GCA_001438145.1)"
"SV_203_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Alcanivoracaceae"	"Alcanivorax"	NA
"SV_204_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	NA	NA	NA
"SV_205_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_206_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	NA	NA	NA
"SV_207_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Hyunsoonleella"	"Hyunsoonleella_jejuensis(RS_GCF_900111025.1)"
"SV_208_NA"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	NA	NA	NA	NA
"SV_209_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	NA
"SV_210_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Vibrionaceae"	"Vibrio"	NA
"SV_211_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Saccharospirillaceae"	"Bermanella"	"(GB_GCA_002162985.1)"
"SV_212_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	NA
"SV_213_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter_A"	"Pelagibacter_A_ubique(GB_GCA_000419545.1)"
"SV_214_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Fonsibacter"	NA
"SV_215_Izimaplasmatales"	"Bacteria"	"Firmicutes"	"Bacilli"	"Izimaplasmatales"	"Izimaplasmataceae"	"Izimaplasma"	"(GB_GCA_000753575.1)"
"SV_216_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halieaceae"	"Luminiphilus"	"(RS_GCF_000227505.1)"
"SV_217_NA"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"SV_218_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halieaceae"	"Luminiphilus"	"(RS_GCF_000227505.1)"
"SV_219_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Fonsibacter"	NA
"SV_220_Acholeplasmatales"	"Bacteria"	"Firmicutes"	"Bacilli"	"Acholeplasmatales"	NA	NA	NA
"SV_221_Opitutales"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Puniceicoccaceae"	"GCA-2690565"	"(GB_GCA_002690565.1)"
"SV_222_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria"	NA
"SV_223_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	NA
"SV_224_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Marinomonadaceae"	"Marinomonas"	"Marinomonas_aquimarina(RS_GCF_001639695.1)"
"SV_225_NA"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"SV_226_NA"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"SV_227_Actinomycetales"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"Aquiluna"	"Aquiluna_sp1(RS_GCF_000257665.1)"
"SV_228_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_229_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"AAA536-G10"	"AAA536-G10"	"(GB_GCA_000421325.1)"
"SV_230_Campylobacterales"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	NA
"SV_231_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_232_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_233_Francisellales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Francisellales"	"Francisellaceae"	"Francisella"	"Francisella_philomiragia(RS_GCF_000019285.1)"
"SV_234_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halomonadaceae"	"Halomonas"	NA
"SV_235_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter_A"	"Pelagibacter_A_ubique(GB_GCA_000419545.1)"
"SV_236_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_237_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Nonlabens"	"Nonlabens_ulvanivorans(RS_GCF_000732625.1)"
"SV_238_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halieaceae"	"Luminiphilus"	NA
"SV_239_Cytophagales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"Fabibacter"	NA
"SV_240_NA"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	NA	NA	NA	NA
"SV_241_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_242_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Alcanivoracaceae"	"Alcanivorax"	"(RS_GCF_002864685.1)"
"SV_243_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Cellvibrionaceae"	NA	NA
"SV_244_Rhizobiales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	NA	NA	NA
"SV_245_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_246_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	NA
"SV_247_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_248_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	NA	NA	NA
"SV_249_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Winogradskyella"	"(RS_GCF_002163855.1)"
"SV_250_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	NA
"SV_251_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Marivivens"	NA
"SV_252_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_253_Betaproteobacteriales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Paucibacter"	"(RS_GCF_001984095.1)"
"SV_254_Nitriliruptorales"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Nitriliruptorales"	"Nitriliruptoraceae"	"Nitriliruptor"	"Nitriliruptor_alkaliphilus(RS_GCF_000969705.1)"
"SV_255_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	NA	NA	NA
"SV_256_NA"	"Bacteria"	NA	NA	NA	NA	NA	NA
"SV_257_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"HTCC2207"	"(GB_GCA_001438605.1)"
"SV_258_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter_A"	"Pelagibacter_A_ubique(GB_GCA_000419545.1)"
"SV_259_Campylobacterales"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	NA
"SV_260_SAR86"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"D2472"	"(GB_GCA_000307935.1)"
"SV_261_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA
"SV_262_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Winogradskyella"	"(RS_GCF_001971725.1)"
"SV_263_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_264_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_265_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Hahellaceae"	"Marinobacter"	"(RS_GCF_000686085.1)"
"SV_266_Actinomycetales"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	NA	NA
"SV_267_Balneolales"	"Bacteria"	"Bacteroidota"	"Rhodothermia"	"Balneolales"	"Balneolaceae"	"Gracilimonas"	"Gracilimonas_tropica(RS_GCF_000375425.1)"
"SV_268_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_269_Opitutales"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Puniceicoccaceae"	"GCA-2690565"	"(GB_GCA_002690565.1)"
"SV_270_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_271_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	"UBA10364"	"(GB_GCA_002378005.1)"
"SV_272_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"UBA7446"	"(GB_GCA_002478685.1)"
"SV_273_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_274_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_275_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_276_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Hahellaceae"	"Marinobacter"	NA
"SV_277_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Hyunsoonleella"	"Hyunsoonleella_jejuensis(RS_GCF_900111025.1)"
"SV_278_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Crocinitomix"	"Crocinitomix_catalasitica(RS_GCF_000621625.1)"
"SV_279_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Spongiibacteraceae"	"Spongiibacter"	"Spongiibacter_marinus(RS_GCF_000422345.1)"
"SV_280_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	NA
"SV_281_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_282_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_283_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas_A"	NA
"SV_284_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_285_NA"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"SV_286_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_287_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter_A"	"Pelagibacter_A_ubique(GB_GCA_000419545.1)"
"SV_288_SAR86"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"SAR86"	"AEGEAN-183"	"AEGEAN-183_sp1(GB_GCA_001628005.1)"
"SV_289_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	NA	NA
"SV_290_SAR86"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"SAR86"	"AEGEAN-183"	"AEGEAN-183_sp1(GB_GCA_001628005.1)"
"SV_291_Sphingomonadales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingopyxis"	NA
"SV_292_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_293_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halieaceae"	"Luminiphilus"	"(RS_GCF_000169115.1)"
"SV_294_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Spongiibacteraceae"	"Spongiibacter"	"Spongiibacter_tropicus(RS_GCF_000420325.1)"
"SV_295_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"UA16"	"UA16"	NA
"SV_296_Parvibaculales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Parvibaculales"	"RS24"	"IMCC14465"	"(RS_GCF_000293845.2)"
"SV_297_Marinisomatales"	"Bacteria"	"Marinisomatota"	"Marinisomatia"	"Marinisomatales"	"Marinisomataceae"	"Marinisoma"	"(GB_GCA_000402655.1)"
"SV_298_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Fonsibacter"	NA
"SV_299_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"HTCC2089"	"GCA-002727775"	"(GB_GCA_002727775.1)"
"SV_300_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_301_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_302_NA"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	NA	NA	NA	NA
"SV_303_Marinisomatales"	"Bacteria"	"Marinisomatota"	"Marinisomatia"	"Marinisomatales"	"Marinisomataceae"	"Marinisoma"	"Marinisoma_atlanticum(GB_GCA_000402815.1)"
"SV_304_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Marinomonadaceae"	"Marinomonas"	NA
"SV_305_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Loktanella"	"(RS_GCF_001419985.1)"
"SV_306_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Nitrincolaceae"	"Nitrincola"	"(RS_GCF_000764495.1)"
